view1,view2,rows,lott_valid,diagnostics_finite,sdp_optimal,rank_one_1e-7,agreement_scaled_1e-8,max_lott_primal_scaled_gap,max_lott_extracted_scaled_gap,max_tail_spectral_ratio,max_psd_violation_ratio,max_extracted_constraint_residual,max_primal_infeasibility,max_dual_infeasibility,max_duality_gap_scaled
3,11,3,3,3,3,3,3,1.5722731189909966e-10,1.9436903393690388e-11,4.326350490298185e-11,4.326350490298185e-11,5.551115123125783e-17,1.1547653324873258e-10,4.898035723718862e-11,1.3531957418415432e-10
3,12,2,2,2,2,2,2,2.2714105058615288e-11,2.071378247655147e-11,8.24321507919735e-12,8.24321507919735e-12,0.0,8.331932349264125e-11,1.7551171711186924e-11,9.675914911465906e-11
3,13,1,1,1,1,1,1,1.816203245702562e-11,2.461798022239718e-12,3.932714064432245e-12,3.932714064432245e-12,5.551115123125783e-17,4.4896673067213795e-11,8.815245591771689e-12,4.6309022724470136e-11
3,14,1,1,1,1,1,1,6.196949522392899e-12,3.156612748389435e-11,5.0042253361099526e-12,5.0042253361099526e-12,2.220446049250313e-16,5.2685384945970636e-11,1.0768893451644097e-11,5.763357007244856e-11
3,15,1,1,1,1,1,1,6.918459298786009e-11,4.2798288495979916e-11,5.020681882093362e-12,5.020681882093362e-12,5.551115123125783e-17,5.5614861297655855e-11,1.1059423080273253e-11,5.845914247238679e-11
3,16,1,1,1,1,1,1,7.506118405552925e-11,4.3699175365628736e-11,1.2467554999926293e-11,1.2467554999926293e-11,4.440892098500626e-16,1.579271151391786e-10,3.3726588260083515e-11,1.753414119459948e-10
3,17,1,1,1,1,1,1,3.169355140721551e-11,2.4822672610029432e-11,1.619930535869958e-12,1.619930535869958e-12,2.220446049250313e-16,1.2473114499719031e-11,3.016513565095657e-12,1.863223523273087e-11
3,18,1,1,1,1,1,1,1.6451709554427254e-10,1.3123390755270989e-11,5.0736160194097644e-11,5.0736160194097644e-11,1.4432899320127035e-15,2.857728259711927e-10,7.926643701236381e-11,5.41850079158952e-10
3,19,1,1,1,1,1,1,6.586198253444309e-11,5.252531742883093e-11,3.921700130179533e-11,3.921700130179533e-11,7.771561172376096e-16,1.773344796545866e-10,5.5581723947114676e-11,4.490618258521532e-10
3,20,1,1,1,1,1,1,1.8199552975772804e-11,4.044520274248953e-11,1.2396132302145032e-11,1.2396132302145032e-11,1.6653345369377348e-16,4.0734333112153165e-11,1.5605579920198028e-11,9.441817853572986e-11
3,21,1,1,1,1,1,1,2.4900692618956555e-11,2.075334348816682e-11,1.7915144453530787e-12,1.7915144453530787e-12,2.7755575615628914e-17,4.659291554672987e-12,2.1023188334964265e-12,7.127760613152686e-12
4,5,229,229,229,229,229,229,1.7140119662126252e-10,3.9247716188128834e-11,5.1114243850312226e-11,5.1114243850312226e-11,1.6653345369377348e-16,1.416780473215727e-10,5.886232874331805e-11,3.2511960286865615e-10
4,6,130,130,130,130,130,130,1.7162209228850404e-10,5.0183301958384163e-11,4.8199363161487446e-11,4.8199363161487446e-11,1.6653345369377348e-16,2.508718092423693e-10,7.263888721086847e-11,5.318925950682342e-10
4,7,83,83,83,83,83,83,1.7149039076543246e-10,3.041400464809385e-11,5.089129877179571e-11,5.089129877179571e-11,1.6653345369377348e-16,2.8502848651871293e-10,7.930139343375261e-11,5.446181252656511e-10
4,8,39,39,39,39,39,39,2.7395301499378747e-10,1.3457783877233453e-10,5.0231498023015276e-11,5.0231498023015276e-11,4.996003610813204e-16,2.7324576155067516e-10,7.723289911532928e-11,5.435843084567879e-10
4,9,12,12,12,12,12,12,1.6494724661662852e-10,4.741701325057231e-11,5.3986513240636846e-11,5.3986513240636846e-11,1.6653345369377348e-16,3.780106821190806e-10,9.599546300213574e-11,5.834113067920576e-10
4,10,10,10,10,10,10,10,1.2552713903046797e-10,5.8036900717185735e-11,5.1355741289166045e-11,5.1355741289166045e-11,3.885780586188048e-16,4.804762220266141e-10,1.2499755511534118e-10,7.835226251369208e-10
4,11,4,4,4,4,4,4,1.471131814458071e-10,5.980734573747749e-11,4.0641260450228286e-11,4.0641260450228286e-11,8.326672684688674e-17,9.231808729964587e-11,4.614207338726724e-11,2.822356311775144e-11
4,12,2,2,2,2,2,2,8.334780813180817e-11,7.217069625251006e-11,4.8198053208374195e-11,4.8198053208374195e-11,3.3306690738754696e-16,6.554897292776443e-10,1.5327936798603674e-10,8.623337382867046e-10
4,13,1,1,1,1,1,1,4.302134904644623e-11,3.519451836433877e-11,2.296986464962618e-12,2.296986464962618e-12,0.0,2.193408133336575e-11,4.67577483317392e-12,2.458936856698011e-11
4,14,1,1,1,1,1,1,1.952409342502975e-12,3.483209192292772e-11,2.066847209564944e-11,2.066847209564944e-11,3.3306690738754696e-16,3.19041741244306e-10,7.058494044576375e-11,3.752148284606697e-10
4,15,1,1,1,1,1,1,6.586159881244758e-11,2.977391455139826e-11,7.022046456312845e-12,7.022046456312845e-12,1.1102230246251565e-16,7.325465557110465e-11,1.537543555124259e-11,8.419583757975291e-11
4,16,1,1,1,1,1,1,2.0298233202065468e-11,1.407324688556567e-11,2.1218759889307453e-11,2.1218759889307453e-11,2.220446049250313e-16,3.258164521318112e-10,7.201195834688762e-11,3.826013926332148e-10
4,17,1,1,1,1,1,1,4.170868991462996e-11,4.920547283322534e-11,1.7665353284977338e-12,1.7665353284977338e-12,5.551115123125783e-17,1.3589998849798054e-11,3.2885349269251776e-12,2.0308699949278152e-11
4,18,1,1,1,1,1,1,1.0904143606279593e-10,2.5882564529064958e-11,2.7973780741833522e-11,2.7973780741833522e-11,6.661338147750939e-16,1.7309045333478446e-10,4.5629183445920914e-11,2.902941276404977e-10
4,19,1,1,1,1,1,1,1.6914113911957662e-10,1.797653839998466e-11,5.0509925138639895e-11,5.0509925138639895e-11,1.4988010832439613e-15,2.7790276104577103e-10,7.806957891777626e-11,5.441428884511387e-10
4,20,1,1,1,1,1,1,1.6084744647315574e-10,4.315248158803797e-11,3.909749958364189e-11,3.909749958364189e-11,7.216449660063518e-16,1.7648448046742655e-10,5.53716381375059e-11,4.4666534586955295e-10
4,21,1,1,1,1,1,1,1.1028755686481873e-10,5.5938254028831125e-11,2.399438405518405e-11,2.399438405518405e-11,4.440892098500626e-16,9.110348114178266e-11,3.1758577498846805e-11,2.1871837264807578e-10
5,6,219,219,219,219,219,219,2.2041313219034464e-10,1.7046930533837212e-10,4.798715999335633e-11,4.798715999335633e-11,1.6653345369377348e-16,2.727801905026828e-10,5.52920355139916e-11,4.1692956222814677e-10
5,7,128,128,128,128,128,128,1.7069532419478062e-10,5.211919784642305e-11,4.932424686963431e-11,4.932424686963431e-11,1.1102230246251565e-16,2.8261670930343935e-10,7.766501613350017e-11,5.235893912936082e-10
5,8,70,70,70,70,70,70,1.8925100527539805e-10,7.214462360849438e-11,4.6242476843694525e-11,4.6242476843694525e-11,1.6653345369377348e-16,2.4576326001300626e-10,6.64635378686522e-11,5.11588664467038e-10
5,9,27,27,27,27,27,27,1.6719938628062536e-10,1.6192602814157908e-11,4.979217221537784e-11,4.979217221537784e-11,1.6653345369377348e-16,2.677207059792936e-10,7.615179747242733e-11,5.414412967117347e-10
5,10,21,21,21,21,21,21,2.2028505927300307e-10,8.981001878294246e-11,5.0840650292787624e-11,5.0840650292787624e-11,1.6653345369377348e-16,2.839693720382944e-10,7.912398835641404e-11,5.446020920181068e-10
5,11,9,9,9,9,9,9,1.0777184700216935e-10,5.718184072262478e-11,4.902587516480606e-11,4.902587516480606e-11,5.551115123125783e-17,2.5923940684952846e-10,7.441120928586295e-11,5.370332357429877e-10
5,12,6,6,6,6,6,6,2.0345202065522792e-10,5.5956499540153594e-11,4.891465692402974e-11,4.891465692402974e-11,2.7755575615628914e-16,2.580877302972983e-10,7.417477543050544e-11,5.363467215313615e-10
5,13,5,5,5,5,5,5,1.164788311951807e-10,8.90585441896928e-11,3.806113440090016e-11,3.806113440090016e-11,1.6653345369377348e-16,1.932609755063897e-10,5.35699310796263e-11,4.2624477397143585e-10
5,14,4,4,4,4,4,4,1.627604136536509e-10,1.1926255417118056e-12,4.492694540760302e-11,4.492694540760302e-11,4.440892098500626e-16,2.349028817124734e-10,6.284798788007159e-11,4.079313890611116e-10
5,15,3,3,3,3,3,3,1.4954536654149253e-10,2.5133885045591664e-11,4.20969251360528e-11,4.20969251360528e-11,6.106226635438361e-16,2.9353061505935643e-10,7.297533190691199e-11,4.314671878661115e-10
5,16,2,2,2,2,2,2,8.774014848000888e-11,3.198774578550001e-11,3.948817205543807e-11,3.948817205543807e-11,4.996003610813204e-16,4.729739187832792e-10,1.2312764558907776e-10,7.709807186465063e-10
5,17,2,2,2,2,2,2,1.7566660390056672e-10,2.4665429049451066e-11,5.0415431559255964e-11,5.0415431559255964e-11,8.326672684688674e-16,2.7613292152050984e-10,7.776083344113909e-11,5.440875054751842e-10
5,18,1,1,1,1,1,1,9.057424712574807e-11,4.666385970352911e-11,4.466133340026879e-11,4.466133340026879e-11,6.661338147750939e-16,2.1937856169317152e-10,6.559203235469568e-11,5.084487972612397e-10
5,19,1,1,1,1,1,1,1.8468894773628882e-10,5.521125381503653e-11,4.1319507236133465e-11,4.1319507236133465e-11,8.326672684688674e-16,1.9274354349614126e-10,5.93391553696232e-11,4.866326650987243e-10
5,20,1,1,1,1,1,1,1.333354537891296e-10,3.5423664002109945e-11,3.5333868225369616e-11,3.5333868225369616e-11,5.551115123125783e-16,1.516292191385476e-10,4.90107217209671e-11,3.775051043017187e-10
5,21,1,1,1,1,1,1,1.0088052615486731e-10,3.072653242952583e-11,2.8627344927356735e-11,2.8627344927356735e-11,4.996003610813204e-16,1.1401817715084864e-10,3.856550019823254e-11,2.77464230597867e-10
6,7,219,219,219,219,219,219,1.754887784567727e-10,1.5326462321496592e-10,5.015221851982036e-11,5.015221851982036e-11,1.1102230246251565e-16,1.3545095103854245e-10,5.776463844567868e-11,3.338315514910493e-10
6,8,124,124,124,124,124,124,1.6931890611804334e-10,6.402556262941062e-11,5.020573963186468e-11,5.020573963186468e-11,1.6653345369377348e-16,4.829899313238987e-10,1.176684431268059e-10,7.279664377175355e-10
6,9,55,55,55,55,55,55,1.699723708135925e-10,7.025036108387894e-11,4.6599409446557926e-11,4.6599409446557926e-11,1.6653345369377348e-16,1.904677779994289e-10,5.879820357272617e-11,4.848711917905616e-10
6,10,37,37,37,37,37,37,1.800046498877929e-10,4.045008772379788e-11,4.916727699681536e-11,4.916727699681536e-11,1.6653345369377348e-16,2.8121767195082524e-10,7.713275858216575e-11,5.378964088311347e-10
6,11,17,17,17,17,17,17,1.6856971677900456e-10,8.982220522923967e-11,4.5949996413647806e-11,4.5949996413647806e-11,2.220446049250313e-16,1.2512275394957957e-10,5.201442505067681e-11,2.8669384398401364e-10
6,12,11,11,11,11,11,11,1.4889681675123168e-10,3.3218428008296996e-12,4.117678248881381e-11,4.117678248881381e-11,1.1102230246251565e-16,1.1180574321658646e-10,4.664760561860401e-11,2.717168284641059e-10
6,13,9,9,9,9,9,9,1.4513749439459696e-10,4.0498604469974e-11,4.590990532794327e-11,4.590990532794327e-11,1.6653345369377348e-16,2.299404161918805e-10,6.801296705611185e-11,5.168271662034246e-10
6,14,6,6,6,6,6,6,1.1435608709975398e-10,4.460404832046887e-11,4.779477543880298e-11,4.779477543880298e-11,1.6653345369377348e-16,2.470219741062751e-10,7.17999775959461e-11,5.292481494952047e-10
6,15,4,4,4,4,4,4,1.1421442302191484e-10,1.0647704939970026e-11,3.940733250178925e-11,3.940733250178925e-11,4.440892098500626e-16,2.5448377559301405e-10,6.585323137460945e-11,4.48559648879644e-10
6,16,2,2,2,2,2,2,1.0550194051717199e-10,1.5749845871937396e-11,3.355102645274053e-11,3.355102645274053e-11,2.7755575615628914e-16,1.409165727764117e-10,4.614003242751162e-11,3.4847385941702256e-10
6,17,2,2,2,2,2,2,6.064471147482209e-11,9.52338208293213e-12,2.29758109027034e-11,2.29758109027034e-11,1.1102230246251565e-16,8.628282126408302e-11,3.028336860095457e-11,2.0654343826173132e-10
6,18,1,1,1,1,1,1,2.9336866269602524e-11,7.452594097401288e-12,1.8127039181045382e-11,1.8127039181045382e-11,2.220446049250313e-16,6.433973227585279e-11,2.342312746591989e-11,1.5179038597366374e-10
6,19,1,1,1,1,1,1,1.342159716699598e-11,2.3389512548988023e-11,1.8134775924971123e-11,1.8134775924971123e-11,1.6653345369377348e-16,6.437277870175186e-11,2.343352297844465e-11,1.518767365178261e-10
6,20,1,1,1,1,1,1,1.4736456499520045e-10,1.0860912169619041e-10,1.882653820146917e-11,1.882653820146917e-11,1.6653345369377348e-16,6.741533250007747e-11,2.4402465214299593e-11,1.59384735363093e-10
6,21,1,1,1,1,1,1,5.614952947041729e-12,3.542566240355427e-11,1.9624540193016476e-11,1.9624540193016476e-11,3.3306690738754696e-16,7.095775249693821e-11,2.5522559263699018e-11,1.6817540737426746e-10
7,8,227,227,227,227,227,227,1.8206115261210076e-10,1.6730056229263823e-10,5.0175581976765496e-11,5.0175581976765496e-11,1.6653345369377348e-16,1.4924019968258134e-10,5.7790817298725436e-11,3.709841656720567e-10
7,9,111,111,111,111,111,111,1.6873177822399749e-10,2.0535129152676745e-11,4.658588057830509e-11,4.658588057830509e-11,1.1102230246251565e-16,1.3220990122381188e-10,5.274457747088013e-11,3.171188030371006e-10
7,10,62,62,62,62,62,62,1.6887728419017216e-10,1.6962957558403552e-11,5.0850566280187756e-11,5.0850566280187756e-11,1.1102230246251565e-16,2.8421963341700694e-10,7.916382388180076e-11,5.445714066839322e-10
7,11,28,28,28,28,28,28,1.6876264535142793e-10,2.928951525760226e-11,4.9140214117364475e-11,4.9140214117364475e-11,1.1102230246251565e-16,1.6283347281319442e-10,5.66085893027967e-11,4.083407218553545e-10
7,12,16,16,16,16,16,16,1.6783539358647404e-10,2.5401181158457575e-11,4.658644136247691e-11,4.658644136247691e-11,1.1102230246251565e-16,1.0714991125975231e-10,5.2745885966317977e-11,2.597031452453754e-10
7,13,13,13,13,13,13,13,2.3312474173309283e-10,1.4923884350537264e-10,4.5518175302135313e-11,4.5518175302135313e-11,5.551115123125783e-17,2.265519820058915e-10,6.723981507190832e-11,5.142330557576734e-10
7,14,9,9,9,9,9,9,1.7911887160142852e-10,3.9063899782439726e-11,4.7053195481926266e-11,4.7053195481926266e-11,1.6653345369377348e-16,2.7402407620799565e-10,7.46432303495295e-11,4.96802521926884e-10
7,15,7,7,7,7,7,7,2.807629455251199e-10,1.2143408500975283e-10,7.954521552761997e-11,7.954521552761997e-11,7.216449660063518e-16,6.037999902641391e-10,1.4568285175256275e-10,9.019406673860539e-10
7,16,3,3,3,3,3,3,1.9317170423463378e-10,1.0582756893029455e-11,3.266993563356938e-11,3.266993563356938e-11,2.7755575615628914e-16,4.028841246214845e-10,7.288928197268043e-11,3.8239081612945735e-10
7,17,2,2,2,2,2,2,3.0047143393005446e-11,2.577763003053235e-11,8.195656813546785e-13,8.195656813546785e-13,5.551115123125783e-17,1.6110275045909778e-11,2.582442855606608e-12,1.313810170738294e-11
7,18,1,1,1,1,1,1,1.1058681748110644e-11,1.7639306681971334e-11,3.738640611622979e-12,3.738640611622979e-12,0.0,1.2015056482262316e-11,5.339280425305164e-12,2.4283208242177632e-11
7,19,1,1,1,1,1,1,7.572553695212036e-12,2.3451740549518263e-11,2.0970520473147862e-11,2.0970520473147862e-11,5.551115123125783e-17,6.118928259993689e-11,2.690478436889966e-11,1.339175507322081e-10
7,20,1,1,1,1,1,1,3.8997971518739405e-12,1.6322498908039051e-12,4.081600790192062e-12,4.081600790192062e-12,0.0,2.25177845700874e-11,9.564807417355228e-12,5.106211810199685e-11
7,21,1,1,1,1,1,1,3.89427379232643e-12,1.2972956042744954e-12,2.1348102930133228e-12,2.1348102930133228e-12,0.0,3.513528359761007e-11,1.4412402960181008e-11,7.993135892463368e-11
8,9,207,207,207,207,207,207,1.731409441816864e-10,8.165967901874183e-11,4.926612955418297e-11,4.926612955418297e-11,2.220446049250313e-16,1.2726165192158352e-10,5.67525419706503e-11,3.103100650986638e-10
8,10,121,121,121,121,121,121,1.685063848438223e-10,2.4270141452120697e-11,4.985952850027175e-11,4.985952850027175e-11,2.220446049250313e-16,2.68507295447102e-10,7.631525882838331e-11,5.418048785211972e-10
8,11,60,60,60,60,60,60,1.6756856752869753e-10,9.005074463885876e-12,4.9444920388688004e-11,4.9444920388688004e-11,1.6653345369377348e-16,2.6374056124027856e-10,7.534240189102043e-11,5.395246501527436e-10
8,12,37,37,37,37,37,37,1.8038618758657343e-10,3.2687012586130857e-11,4.955479574684027e-11,4.955479574684027e-11,1.1102230246251565e-16,2.933252954664728e-10,7.795267207528216e-11,5.264235106127167e-10
8,13,26,26,26,26,26,26,1.6776255514980298e-10,3.403866077889006e-11,4.607994995311115e-11,4.607994995311115e-11,1.6653345369377348e-16,1.5317104153341223e-10,5.2163061975225256e-11,3.817023414326095e-10
8,14,20,20,20,20,20,20,1.99294316879624e-10,8.093037232419909e-11,5.434405246524719e-11,5.434405246524719e-11,1.6653345369377348e-16,6.291138666938955e-10,1.53185298333881e-10,9.477067172385424e-10
8,15,16,16,16,16,16,16,1.682952442769864e-10,7.636473238097168e-11,4.62974119923957e-11,4.62974119923957e-11,1.6653345369377348e-16,2.19336704090846e-10,5.891605258610204e-11,4.852807537984839e-10
8,16,7,7,7,7,7,7,1.839628942440224e-10,1.2291057061020183e-11,3.6510856688150107e-11,3.6510856688150107e-11,2.7755575615628914e-16,3.9720736833560816e-10,7.193726914926258e-11,3.977458883644952e-10
