view1,view2,correspondences,formula_relative_error,camera_center_relative_residual,projected_point_sampson_max,projected_point_normalized_residual_max,rank_ratio,observation_sampson_median,transpose_sampson_median,lott_certified,lott_failures,hs_finite,both_finite,lott_cost_mean,hs_cost_mean,gap_mean,gap_abs_max,lott_normalized_residual_max,hs_normalized_residual_max
1,13,1,1.1109636286207262e-16,4.2171745376355699e-17,4.9293788392913999e-10,1.4343950466310262e-19,2.4681005308912199e-22,2.2568970747105839,4.3218661325569068,1,0,1,1,5.0935495595598521,5.0935495595594631,3.8902214782865485e-13,3.8902214782865485e-13,1.3989507394373703e-21,3.4973768485934257e-22
1,14,1,1.1104057014265827e-16,4.2171745376355699e-17,4.7585820656008891e-10,1.3962899181977454e-19,1.4594600798035346e-23,2.1398436517105326,9.3747486717164659,1,0,1,1,4.578894899421992,4.5788948994223588,-3.6681768733615172e-13,3.6681768733615172e-13,3.5429525437547757e-22,7.0859050875095496e-22
1,15,1,1.899053981058368e-18,4.2171745376355699e-17,3.4641784607432558e-10,1.1819213117369357e-19,3.4204418605873586e-24,2.1229087982930297,12.86429449166738,1,0,1,1,4.5066998421711757,4.5066998421710576,1.1812772982011666e-13,1.1812772982011666e-13,0,7.1606384414124324e-22
1,16,1,1.110536941871613e-16,4.2171745376355699e-17,2.9057017905897854e-10,1.2037051930836767e-19,1.3734893084586668e-22,1.8594132912357046,14.415954315853703,1,0,1,1,3.4573845800803951,3.4573845800803364,5.8619775700208265e-14,5.8619775700208265e-14,7.2278711669654736e-22,5.4209033752241075e-22
1,17,1,1.6121229208782481e-18,4.2171745376355699e-17,2.6844181805569134e-10,7.7176770986228161e-20,1.5056058498194029e-22,1.4504717297580481,13.034317042106386,1,0,1,1,2.1038502199079061,2.1038502199073963,5.0981441290787188e-13,5.0981441290787188e-13,1.6377273933010708e-21,0
1,18,1,6.1053874974524386e-19,4.2171745376355699e-17,4.6910321589917646e-10,1.3077220692577166e-19,1.9123871784132463e-22,1.0166843881988865,8.3776090169943949,1,0,1,1,1.0336403918879973,1.0336403918879842,1.3100631690576847e-14,1.3100631690576847e-14,3.6551365514571695e-22,3.6551365514571695e-22
1,19,1,2.2204812218358589e-16,4.2171745376355699e-17,1.2996103563630537e-09,3.8241510953427123e-19,5.561332884788345e-23,0.66484960264395165,0.67785396318570135,1,0,1,1,0.44202306312810313,0.4420230631281109,-7.7715611723760958e-15,7.7715611723760958e-15,3.6611583140588858e-22,3.6611583140588872e-22
1,20,1,1.3629298276928706e-18,4.2171745376355699e-17,2.0643377688515182e-09,5.9086980311646715e-19,3.7584285002523905e-23,0.16677414294068937,9.4780963471322224,1,0,1,1,0.027813585334432765,0.027813585334423307,9.4577123910255523e-15,9.4577123910255523e-15,3.6553019085430044e-22,0
1,21,1,1.1103277981853825e-16,4.2171745376355699e-17,2.3602078636135348e-09,7.0621993880015355e-19,5.6362921100727352e-22,0.18272309086496269,20.556463962394329,1,0,1,1,0.033387763156680191,0.033387763156633055,4.7135906289241802e-14,4.7135906289241802e-14,1.4558543751008809e-21,7.2792718755044043e-22
2,3,242,5.2112338764737525e-16,1.0306768845316152e-16,1.0388130582262774e-07,1.8547984211039156e-17,7.0610420877566361e-24,0.12443441020774076,6.8334659153397777,242,0,242,242,0.048213835383316195,0.048213835383313419,2.7754437100093789e-15,1.8984813721090177e-13,6.6893016509082719e-20,3.6937380441405055e-20
2,4,135,1.2212830080627943e-16,1.0306768845316152e-16,1.6369251410893615e-08,2.1338483832856732e-18,6.2766739645967394e-23,0.20513665384422855,13.161350316753133,135,0,135,135,0.12254021866012911,0.1225402186601271,1.9983090361678953e-15,1.723066134218243e-13,2.6271202281512243e-20,1.8199248057705226e-20
2,5,73,1.1366819371822021e-16,1.0306768845316152e-16,6.134301658567246e-09,5.615013541568816e-19,2.7007496559463346e-22,0.22516044491603543,19.693206252314798,73,0,73,73,0.32049996636927031,0.32049996636927747,-7.190234895394899e-15,2.233768725545815e-13,2.1510800510407748e-20,1.3957350095210511e-20
2,6,49,2.4965767027743288e-17,1.0306768845316152e-16,1.5697378324567318e-09,2.0783001822905334e-19,2.1046020021989699e-22,0.34728007976658332,23.113268011633892,49,0,49,49,0.78552970025333058,0.78552970025332425,6.4422928000602022e-15,4.6540549192286562e-13,9.5962095103665002e-21,9.5282433903193474e-21
2,7,33,1.1208969908573764e-16,1.0306768845316152e-16,9.7267459217807687e-10,1.5383194786248907e-19,5.2733294477811133e-23,0.41747328650368104,28.754012946164597,33,0,33,33,1.6919855346960357,1.6919855346960417,-5.9669598396759954e-15,3.694822225952521e-13,7.9889653743660885e-21,6.8128766111649439e-21
