suite,parameter,parameter_value,replicate,expected_path,status,certified,fallback_required,passed,a_raw,b_raw,b_over_a,coefficient_scale,selected_chart,pivot_ratio,qn_ratio,target_mu,mu,endpoint_margin,lambda_bar,lambda_bar_absolute_error,normalized_phi,normalized_phi_derivative,residual_root_condition,residual_root_bound,residual_root_bound_ratio,residual_implied_lambda_error_bound,minimum_hessian_eigenvalue,hessian_condition,reconstruction_condition,reconstruction_condition_bound,normalized_feasibility_residual,normalized_kkt_residual,normalized_rank_two_identity_residual,relative_reconstruction_error,lambda_bar_relative_error,iterations,bisection_steps,guarded_halfsteps,nonfinite_eval_steps,certificate_solution_count
b_over_a,b_over_a,1.00000000000000002e-02,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-02,1.00000000000000002e-02,2.27144464228545218e+00,0,6.78194391620368764e-01,1.69548597905092191e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000078e-01,6.81433392685635519e-01,1.11022302462515654e-16,0.00000000000000000e+00,-1.80822282573303572e+00,5.53029187425841617e-01,4.74616352916386663e+00,1.16521309058912462e-01,0.00000000000000000e+00,4.00000000000000133e-01,3.99999999999999911e+00,1.69498165823720925e+00,8.11434860918875067e+00,1.30578729946661318e-16,7.75516104035032691e-17,6.26660136303139401e-18,2.28878339926111873e-16,1.11022302462515654e-16,6,0,0,0,1
b_over_a,b_over_a,1.00000000000000002e-02,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-02,1.00000000000000002e-02,3.46946314162737313e+00,1,6.27669731217481708e-01,1.14121769312269389e-01,5.99999999999999978e-01,5.99999999999999978e-01,4.00000000000000078e-01,1.04083894248821185e+00,0.00000000000000000e+00,0.00000000000000000e+00,-1.05425251549712184e+00,9.48539353997614465e-01,7.83847455498154755e+00,1.21010707803445486e-01,0.00000000000000000e+00,4.00000000000000022e-01,3.99999999999999911e+00,1.16033344525666471e+00,6.31406770394166905e+00,2.70211092601736070e-17,1.88486315920941050e-17,6.91034867904535180e-18,1.21667187795435288e-16,0.00000000000000000e+00,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000002e-02,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-02,1.00000000000000002e-02,2.25838028489105147e+00,1,6.39071230860047135e-01,1.06511871810007860e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000133e-01,6.77514085467315286e-01,1.11022302462515654e-16,2.22044604925031308e-16,-1.60010330390712063e+00,6.24959649516507620e-01,5.14325028872302337e+00,1.21510642965748775e-01,1.14203097839005693e-15,4.00000000000000133e-01,3.99999999999999822e+00,1.40993796141704286e+00,7.79482162378838694e+00,1.08452801485921728e-16,2.46029838786252873e-17,4.60686467499101868e-18,1.77722398948333652e-16,1.11022302462515654e-16,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000002e-02,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000002e-02,1.00000000000000002e-02,1.84427689269452855e+00,0,8.89153565714849492e-01,2.22288391428712373e-01,5.99999999999999978e-01,6.00000000000000866e-01,3.99999999999999134e-01,5.53283067808359341e-01,7.77156117237609578e-16,-2.22044604925031308e-15,-2.61490238611897485e+00,3.82423453092715637e-01,3.44203885428311196e+00,1.11103758348586282e-01,7.64286157535901003e-15,3.99999999999999134e-01,4.00000000000001066e+00,2.26679373584891364e+00,9.52833738796587504e+00,9.11178673803557531e-16,3.46007896532099085e-17,5.29854499258731091e-18,1.77331847483622604e-15,7.77156117237609578e-16,7,0,0,0,1
b_over_a,b_over_a,1.00000000000000006e-01,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000006e-01,1.00000000000000006e-01,2.13899519401922378e+00,0,6.95493291543131442e-01,1.73873322885782861e-01,5.99999999999999978e-01,6.00000000000000089e-01,3.99999999999999911e-01,6.41698558205767267e-01,1.11022302462515654e-16,0.00000000000000000e+00,-1.94572282873814784e+00,5.13947816837060034e-01,4.42624555727359681e+00,1.16113715379503893e-01,0.00000000000000000e+00,3.99999999999999911e-01,4.00000000000000089e+00,1.77557982612580312e+00,8.40247557909841447e+00,1.29195555223489270e-16,6.43287444985628274e-17,2.55324883112526861e-17,3.18887285829407209e-16,1.11022302462515654e-16,6,0,0,0,1
b_over_a,b_over_a,1.00000000000000006e-01,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000006e-01,1.00000000000000006e-01,3.18454966180135290e+00,1,6.52552433398828291e-01,1.18645896981605159e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000133e-01,9.55364898540405627e-01,2.22044604925031308e-16,3.33066907387546962e-16,-1.16072165838519714e+00,8.61532989219143119e-01,7.13791717377511947e+00,1.20698092769195506e-01,2.37740399825773877e-15,4.00000000000000133e-01,3.99999999999999822e+00,1.23026200365304117e+00,6.61666670242159149e+00,1.33384437334493161e-16,4.05575033375424050e-17,5.21878876738422023e-18,3.04047097224405882e-16,2.22044604925031308e-16,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000006e-01,2,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000006e-01,1.00000000000000006e-01,2.06765307938768217e+00,1,6.65392834119002963e-01,1.10898805686500498e-01,5.99999999999999978e-01,6.00000000000000089e-01,3.99999999999999967e-01,6.20295923816304717e-01,1.11022302462515654e-16,0.00000000000000000e+00,-1.76502742400829016e+00,5.66563434877997207e-01,4.67365403520772027e+00,1.21224941043976173e-01,0.00000000000000000e+00,3.99999999999999911e-01,4.00000000000000089e+00,1.49578481207940039e+00,8.17705145163138347e+00,1.07057342430100915e-16,4.74658952168540699e-17,1.26690380756032174e-17,1.14439169963055936e-16,1.11022302462515654e-16,5,0,0,0,1
b_over_a,b_over_a,1.00000000000000006e-01,3,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,1.00000000000000006e-01,1.00000000000000006e-01,1.80660238296546782e+00,0,8.96067619059245479e-01,2.24016904764811370e-01,5.99999999999999978e-01,6.00000000000001754e-01,3.99999999999998246e-01,5.41980714889641946e-01,1.66533453693773481e-15,-4.44089209850062616e-15,-2.68787094295694517e+00,3.72041672097505216e-01,3.35441425045963415e+00,1.10911069509833704e-01,1.48965917399640909e-14,3.99999999999998246e-01,4.00000000000002132e+00,2.30654941952154635e+00,9.65198556301638178e+00,1.93764939936732719e-15,1.70862837844347164e-17,1.07411367062837607e-17,3.66930389246002484e-15,1.66533453693773481e-15,7,0,0,0,1
b_over_a,b_over_a,5.00000000000000000e-01,0,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,5.00000000000000000e-01,5.00000000000000000e-01,1.73631656804733714e+00,0,7.47833824564226091e-01,1.86958456141056523e-01,5.99999999999999978e-01,5.99999999999999978e-01,3.99999999999999967e-01,5.20894970414201186e-01,1.11022302462515654e-16,1.11022302462515654e-16,-2.59018604362539673e+00,3.86072653916524622e-01,3.37208119420154961e+00,1.14490912787151899e-01,3.74376218270805429e-16,3.99999999999999911e-01,4.00000000000000089e+00,2.14574824272730913e+00,9.62666810907357373e+00,2.48818420956375494e-17,5.27626506168571097e-17,4.09726013925640368e-17,1.66533453693773481e-16,1.11022302462515654e-16,7,0,0,0,1
b_over_a,b_over_a,5.00000000000000000e-01,1,regular_interior,regular_interior,1,0,1,1.00000000000000000e+00,5.00000000000000000e-01,5.00000000000000000e-01,2.31834319526627208e+00,1,7.34832549019858727e-01,1.33605918003610685e-01,5.99999999999999978e-01,5.99999999999999867e-01,4.00000000000000189e-01,6.95502958579881425e-01,2.22044604925031308e-16,2.22044604925031308e-16,-1.75252029527355546e+00,5.70606801357417370e-01,4.79707876369329433e+00,1.18948808111314891e-01,1.06516545887853516e-15,4.00000000000000133e-01,3.99999999999999778e+00,1.62427513634485998e+00,8.07117169920356581e+00,2.53612130091732769e-17,3.00806528297557835e-17,2.85237501508528714e-18,2.07703709052761217e-16,2.22044604925031308e-16,6,0,0,0,1
