suite,parameter,parameter_value,cases,certified_rate,fallback_required_rate,pass_rate,regular_count,boundary_count,affine_count,mean_iterations,max_iterations,mean_bisections,max_bisections,max_normalized_feasibility_residual,max_normalized_kkt_residual,min_endpoint_margin,max_normalized_rank_two_identity_residual,max_residual_root_condition,max_condition_to_bound_ratio,max_hessian_condition,max_relative_reconstruction_error,max_lambda_bar_absolute_error,max_lambda_bar_relative_error
b_over_a,b_over_a,1.00000000000000006e-01,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,5.75000000000000000e+00,7,0.00000000000000000e+00,0,1.93764939936732719e-15,6.43287444985628274e-17,3.99999999999998246e-01,2.55324883112526861e-17,8.61532989219143119e-01,1.21224941043976173e-01,4.00000000000002132e+00,3.66930389246002484e-15,1.66533453693773481e-15,1.66533453693773481e-15
b_over_a,b_over_a,5.00000000000000000e-01,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.52198231074174881e-17,6.80265022308205374e-17,3.99999999999999967e-01,6.49880071557290321e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000089e+00,3.10316769155909140e-16,2.22044604925031308e-16,2.22044604925031308e-16
b_over_a,b_over_a,9.00000000000000022e-01,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,7.50000000000000000e+00,8,0.00000000000000000e+00,0,2.14266180436929827e-15,7.46435746670119149e-17,3.99999999999998079e-01,7.39381157762826967e-17,3.74575438868666288e-01,1.12627042218128873e-01,4.00000000000002398e+00,3.98947177711738175e-15,1.77635683940025046e-15,1.77635683940025046e-15
b_over_a,b_over_a,1.00000000000000000e+00,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,8.00000000000000000e+00,8,0.00000000000000000e+00,0,6.03382078600628522e-17,6.75265892340575945e-17,4.00000000000000022e-01,1.25195076661413240e-16,3.33000000000000018e-01,1.08800000000000105e-01,4.00000000000000000e+00,2.35513868802566238e-16,5.55111512312578270e-17,5.55111512312578270e-17
common_coefficient_scale,scale,9.99999999999999982e-201,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.52198231074174881e-17,1.16320558314630164e-16,3.99999999999999856e-01,6.49880071557290321e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000178e+00,2.55893763326045161e-16,1.11022302462515654e-16,1.11022302462515654e-16
common_coefficient_scale,scale,1.00000000000000001e-150,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,2.31310948434418939e-16,6.74033186105780077e-17,3.99999999999999967e-01,6.49880071557290321e-17,5.70606801357417370e-01,1.19516689317229141e-01,4.00000000000000089e+00,2.96348452778242045e-16,2.22044604925031308e-16,2.22044604925031308e-16
common_coefficient_scale,scale,1.00000000000000002e-100,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,9.95273683825501977e-17,7.00757231248735384e-17,3.99999999999999967e-01,5.36064255382944059e-17,5.70606801357417370e-01,1.19516689317229127e-01,4.00000000000000089e+00,3.10316769155909140e-16,1.11022302462515654e-16,1.11022302462515654e-16
common_coefficient_scale,scale,1.00000000000000001e-50,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.52198231074174881e-17,5.28049131181092623e-17,3.99999999999999967e-01,5.36064255382944059e-17,5.70606801357417370e-01,1.19516689317229141e-01,4.00000000000000089e+00,5.57880165459372909e-16,3.33066907387546962e-16,3.33066907387546962e-16
common_coefficient_scale,scale,9.99999999999999945e-21,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,7.00019975525215099e-17,5.26872406006124729e-17,3.99999999999999967e-01,4.95055763405761747e-17,5.70606801357417370e-01,1.19516689317229141e-01,4.00000000000000089e+00,3.04047097224405882e-16,1.11022302462515654e-16,1.11022302462515654e-16
common_coefficient_scale,scale,1.00000000000000000e+00,4,1.00000000000000000e+00,0.00000000000000000e+00,1.00000000000000000e+00,4,0,0,6.75000000000000000e+00,8,0.00000000000000000e+00,0,8.52198231074174881e-17,6.80265022308205374e-17,3.99999999999999967e-01,6.49880071557290321e-17,5.70606801357417370e-01,1.19516689317229155e-01,4.00000000000000089e+00,3.10316769155909140e-16,2.22044604925031308e-16,2.22044604925031308e-16
